Lat	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1
22.25	137	148	157	144	144	144	122	122	256	263	278	274	274	274	279	279	0	0	0	0	0	0	0	0
21.75	140	148	159	143	143	143	123	123	256	264	277	274	274	274	281	281	0	0	0	0	0	0	0	0
21.25	141	148	160	142	142	142	124	124	257	265	277	274	274	274	283	283	0	0	0	0	0	0	0	0
20.75	141	146	161	146	146	146	124	124	261	265	276	274	274	274	284	284	0	0	0	0	0	0	0	0
20.25	141	144	163	149	149	149	125	125	262	266	274	273	273	273	285	285	0	0	0	0	0	0	0	0
19.75	130	142	166	152	152	152	124	124	263	267	273	272	272	272	285	285	0	0	0	0	0	0	0	0
19.25	130	140	169	155	155	155	125	125	263	268	273	271	271	271	285	285	0	0	0	0	0	0	0	0
18.75	123	138	172	158	158	158	128	128	263	269	272	270	270	270	285	285	0	0	0	0	0	0	0	0
18.25	123	137	175	160	160	160	131	131	263	269	272	270	270	270	284	284	0	0	0	0	0	0	0	0
17.75	126	138	178	163	163	163	134	134	262	270	271	269	269	269	284	284	0	0	0	0	0	0	0	0
17.25	126	138	180	165	165	165	135	135	265	271	271	269	269	269	283	283	0	0	0	0	0	0	0	0
16.75	131	139	183	167	167	167	138	138	266	271	271	269	269	269	283	283	0	0	0	0	0	0	0	0
16.25	135	140	185	168	168	168	141	141	275	271	271	269	269	269	282	282	0	0	0	0	0	0	0	0
15.75	137	139	186	169	169	169	144	144	277	272	271	269	269	269	281	281	0	0	0	0	0	0	0	0
15.25	137	139	187	170	170	170	147	147	280	272	271	270	270	270	281	281	0	0	0	0	0	0	0	0
14.75	137	139	188	172	172	172	150	150	282	272	271	270	270	270	280	280	0	0	0	0	0	0	0	0
14.25	135	138	189	173	173	173	154	154	283	272	271	269	269	269	279	279	0	0	0	0	0	0	0	0
13.75	136	138	189	174	174	174	157	157	284	272	269	269	269	269	278	278	0	0	0	0	0	0	0	0
13.25	134	138	185	174	174	174	159	159	284	273	268	269	269	269	278	278	0	0	0	0	0	0	0	0
12.75	134	138	178	173	173	173	163	163	284	273	266	269	269	269	278	278	0	0	0	0	0	0	0	0
12.25	131	137	176	167	167	167	166	166	284	273	264	268	268	268	278	278	0	0	0	0	0	0	0	0
11.75	130	136	176	161	161	161	169	169	284	274	263	267	267	267	277	277	0	0	0	0	0	0	0	0
11.25	138	134	174	154	154	154	171	171	287	274	263	268	268	268	277	277	0	0	0	0	0	0	0	0
10.75	135	132	172	147	147	147	169	169	286	273	263	268	268	268	276	276	0	0	0	0	0	0	0	0
10.25	137	128	158	139	139	139	165	165	286	273	249	268	268	268	274	274	0	0	0	0	0	0	0	0
9.75	129	123	145	133	133	133	158	158	286	272	235	268	268	268	273	273	0	0	0	0	0	0	0	0
9.25	122	118	132	126	126	126	152	152	285	272	220	268	268	268	274	274	0	0	0	0	0	0	0	0
8.75	122	112	127	119	119	119	145	145	285	272	218	268	268	268	273	273	0	0	0	0	0	0	0	0
8.25	116	108	114	111	111	111	134	134	285	271	205	268	268	268	272	272	0	0	0	0	0	0	0	0
7.75	114	103	102	102	102	102	129	129	286	271	191	267	267	267	272	272	0	0	0	0	0	0	0	0
7.25	110	100	90	93	93	93	124	124	286	271	185	267	267	267	269	269	0	0	0	0	0	0	0	0
6.75	107	96	79	85	85	85	119	119	284	271	178	267	267	267	270	270	0	0	0	0	0	0	0	0
6.25	103	93	70	80	80	80	115	115	283	272	162	266	266	266	271	271	0	0	0	0	0	0	0	0
5.75	102	91	62	75	75	75	110	110	278	272	148	266	266	266	272	272	0	0	0	0	0	0	0	0
5.25	96	88	52	69	69	69	105	105	276	269	133	265	265	265	271	271	0	0	0	0	0	0	0	0
4.75	93	84	41	61	61	61	96	96	276	267	117	265	265	265	269	269	0	0	0	0	0	0	0	0
4.25	93	71	34	55	55	55	85	85	276	266	102	264	264	264	267	267	0	0	0	0	0	0	0	0
3.75	90	58	32	48	48	48	79	79	259	266	87	265	265	265	267	267	0	0	0	0	0	0	0	0
3.25	90	51	13	38	38	38	67	67	259	264	84	265	265	265	266	266	0	0	0	0	0	0	0	0
2.75	81	42	8	34	34	34	57	57	251	253	83	241	241	241	258	258	0	0	0	0	0	0	0	0
2.25	67	35	3	26	26	26	48	48	245	240	88	226	226	226	249	249	0	0	0	0	0	0	0	0
1.75	51	24	363	19	19	19	38	38	231	226	87	210	210	210	242	242	0	0	2	0	0	0	0	0
1.25	58	15	360	10	10	10	30	30	231	211	91	194	194	194	233	233	0	0	2	0	0	0	0	0
0.75	67	5	358	4	4	4	21	21	207	196	95	176	176	176	222	222	0	0	2	0	0	0	0	0
0.25	67	365	357	364	364	364	15	15	207	179	85	157	157	157	213	213	0	2	2	2	2	2	0	0
-0.25	67	359	355	360	360	360	13	13	207	164	86	140	140	140	202	202	0	2	2	2	2	2	0	0
-0.75	67	345	353	358	358	358	5	5	207	148	90	124	124	124	192	192	0	2	2	2	2	2	0	0
